State,Upper_Senate,Lower_House,Governor,Overall
Alabama,Republican,Republican,Republican,Republican
Alaska,Republican,Republican,Independent,Republican
Arizona,Republican,Republican,Republican,Republican
Arkansas,Republican,Republican,Republican,Republican
California,Democrat,Democrat,Democrat,Democrat
Colorado,Republican,Democrat,Democrat,Democrat
Connecticut,Democrat,Democrat,Democrat,Democrat
Delaware,Democrat,Democrat,Democrat,Democrat
Florida,Republican,Republican,Republican,Republican
Georgia,Republican,Republican,Republican,Republican
Hawaii,Democrat,Democrat,Democrat,Democrat
Idaho,Republican,Republican,Republican,Republican
Illinois,Democrat,Democrat,Republican,Democrat
Indiana,Republican,Republican,Republican,Republican
Iowa,Republican,Republican,Republican,Republican
Kansas,Republican,Republican,Republican,Republican
Kentucky,Republican,Republican,Republican,Republican
Louisana,Republican,Republican,Democrat,Republican
Maine,Republican,Democrat,Republican,Republican
Maryland,Democrat,Democrat,Republican,Democrat
Massachusetts,Democrat,Democrat,Republican,Democrat
Michigan,Republican,Republican,Republican,Republican
Minnesota,Republican,Republican,Democrat,Republican
Mississippi,Republican,Republican,Republican,Republican
Missouri,Republican,Republican,Republican,Republican
Montana,Republican,Republican,Democrat,Republican
Nebraska,Republican,Republican,Republican,Republican
Nevada,Democrat,Democrat,Republican,Democrat
New Hampshire,Republican,Republican,Republican,Republican
New Jersey,Democrat,Democrat,Democrat,Democrat
New Mexico,Democrat,Democrat,Republican,Democrat
New York,Republican,Democrat,Democrat,Democrat
North Carolina,Republican,Republican,Democrat,Republican
North Dakota,Republican,Republican,Republican,Republican
Ohio,Republican,Republican,Republican,Republican
Oklahoma,Republican,Republican,Republican,Republican
Oregon,Democrat,Democrat,Democrat,Democrat
Pennsylvania,Republican,Republican,Democrat,Republican
Rhode Island,Democrat,Democrat,Democrat,Democrat
South Carolina,Republican,Republican,Republican,Republican
South Dakota,Republican,Republican,Republican,Republican
Tennessee,Republican,Republican,Republican,Republican
Texas,Republican,Republican,Republican,Republican
Utah,Republican,Republican,Republican,Republican
Vermont,Democrat,Democrat,Republican,Democrat
Virginia,Republican,Republican,Democrat,Republican
Washington,Democrat,Democrat,Democrat,Democrat
West Virginia,Republican,Republican,Republican,Republican
Wisconsin,Republican,Republican,Republican,Republican
Wyoming,Republican,Republican,Republican,Republican
